Input,1 Step Prediction,5 Step Prediction,Anomaly Score,Anomaly Likelihood
-3181.1678,,,1.0,0.0301029996658834
-3442.58355,,,1.0,0.0602059993317668
-3655.71954,,,0.21875,0.0301029996658834
-4028.65576,-3445.44375068493,,0.40625,-4.342945193758039e-12
-4359.32794,-3675.6232854296377,,0.375,-4.342945193758039e-12
-4675.08042,-4049.6650293897874,,0.34375,-4.342945193758039e-12
-4899.46326,-4366.161889663761,,0.25,-4.342945193758039e-12
-5129.62878,-4682.658749937733,,0.25,-4.342945193758039e-12
-5385.56624,-4912.838284682441,,0.25,-4.342945193758039e-12
-5698.93424,-5143.017819427147,,0.34375,-4.342945193758039e-12
-6064.05804,-5401.969796014942,,0.40625,-4.342945193758039e-12
-6485.38344,-5718.466656288916,-14206.337,0.46875,-4.342839117736348e-12
-6848.7785,-6092.508400249066,-14206.337,0.375,-4.342839117736348e-12
-7210.23996,-6495.322586052303,-14206.337,0.40625,-4.3429355504833396e-12
-7504.89736,-6869.364330012452,-14206.337,0.3125,-4.3429355504833396e-12
-7715.55218,-7214.633632129514,-14206.337,0.21875,-4.342945193758039e-12
-7752.23262,-7531.130492403487,-14206.337,0.0625,-4.342945193758039e-12
-7746.9664,-7732.5375853051055,-14206.337,0.0,-4.342945193758039e-12
-7582.52358,-7761.3100271481935,-14206.337,0.125,-4.342945193758039e-12
-7343.87944,-7761.3100271481935,-14206.337,0.1875,-4.342945193758039e-12
-7080.05856,-7214.633632129514,-14206.337,0.28125,-4.3254137203548525e-12
-6971.37516,-6869.364330012452,-14206.337,0.09375,-4.3254137203548525e-12
-6996.0994,-6869.364330012452,-14206.337,0.0,-4.342945193758039e-12
-7211.77956,-6984.454097384806,-7761.3100271481935,0.15625,-4.3421737317821015e-12
-7537.7005,-7531.130492403487,-7761.3100271481935,0.34375,2.624469484134063e-10
-7829.84908,-7732.5375853051055,-7761.3100271481935,0.0625,2.624461914163378e-10
-8051.05706,-7761.3100271481935,-7761.3100271481935,0.25,6.427599389312661e-12
-8103.1053,-7761.3100271481935,-7761.3100271481935,0.0625,6.427975477026025e-12
-8064.60996,-7761.3100271481935,-7588.675376089663,0.0,-4.342520889671273e-12
-7682.62664,-8106.579329265254,-7358.495841344956,0.40625,1.399934157890094e-07
-7020.21408,-7531.130492403487,-7013.226539227895,0.71875,0.0009343010853475719
-5712.40196,-7214.633632129514,-7013.226539227895,1.0,0.03717507791931259
-3870.33194,-6092.508400249066,-7013.226539227895,1.0,0.07247847845554178
-1447.75412,-3675.6232854296377,-7013.226539227895,1.0,0.0724717700898269
1301.87106,-14206.337,-7588.675376089663,1.0,0.07246506577692305
4199.11528,-14206.337,-7847.6273526774585,1.0,0.07245836551388526
6885.21758,-14206.337,-7531.130492403487,1.0,0.07245166929777132
9389.5117,-14206.337,-4912.838284682441,1.0,0.07244497712564182
11658.37368,-14206.337,-14206.337,1.0,0.07243828899456022
13639.76708,-14206.337,-14206.337,1.0,0.07243160490159266
15380.348,-14206.337,-14206.337,1.0,0.07242492484380811
16710.9972,-14206.337,-14206.337,1.0,0.07241824881827827
17648.8772,-14206.337,-14206.337,1.0,0.07241157682207766
18364.997,-14206.337,-14206.337,1.0,0.0724049088522836
18892.1844,-14206.337,-14206.337,1.0,0.0723982449059761
19224.9308,-14206.337,-14206.337,1.0,0.07239158498023801
19540.8684,18881.97111955168,-14206.337,0.625,0.03631413876134295
19809.5984,19198.467979825655,-14206.337,0.28125,0.00012001184528847638
19916.4872,19514.96484009963,-14206.337,0.125,1.0975949462039193e-09
19784.4816,19802.68925853051,-14206.337,0.03125,-3.235395807989057e-12
19405.7426,19802.68925853051,-14206.337,0.40625,5.866264104426966e-07
18772.5816,19802.68925853051,-14206.337,0.6875,0.0007751363927888328
17986.8802,19198.467979825655,-14206.337,0.96875,0.029256710957556744
16988.5882,18881.97111955168,-14206.337,1.0,0.06529290673154033
15653.4688,17644.75612029888,-14206.337,1.0,0.07361778794866583
14213.6338,16695.265539476964,19773.916816687422,1.0,0.07361038397229837
